@relation 'twitter'
@attribute 'klout_score' {1,2,3,4,5}
@attribute 'followers_count' numeric
@attribute 'friends_count' numeric
@attribute 'retweet_count' numeric
@attribute 'favorite_count' numeric
@attribute 'statuses_count' numeric
@attribute 'default_profile_image' {1,0}
@data
2,522,400,2,2,868,0
2,2083,448,0,0,17215,0
2,475,1768,0,0,15618,0
3,762,885,0,1,13910,0
3,1744,526,0,0,14760,0
2,335,289,0,2,230,0
2,151,1055,0,0,41,0
3,104813,85012,0,1,3784,0
1,141,937,0,0,22,0
3,9301,3292,1,2,13973,0
2,38,64,0,0,246,0
2,224,1867,0,0,2420,0
2,194,1803,0,0,1589,0
2,353,2325,0,0,1911,0
1,11,271,0,1,1,1
3,1354,1113,0,0,58968,0
2,551,992,0,0,3976,0
2,447,525,0,0,35857,0
3,1715,554,0,0,2693,0
2,80,775,0,0,50,0
2,657,676,0,0,46584,0
1,26,264,0,0,31,0
2,411,285,0,0,940,0
1,144,436,0,0,18,0
2,49,227,0,0,2025,0
2,197,196,1,2,5249,0
3,4855,5181,0,0,39034,0
3,716,267,0,0,14497,0
1,77,232,0,0,567,0
